condition,display_type,hdd_type,os,cpu_line,cpu_cores,cpu_speed,ram_size,ram_type,ram_speed,hdd_size,display_surface,display_resolution,gfx_type,weight,battery_capacity
Używany,,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,,4 GB,DDR3,,250 GB,matowa,1366 x 768,,,
Używany,,SSD,"Windows 7 Professional 64-bit, Windows 10 Professional",Intel Core i7,2,3.3 GHz,8 GB,,,256 GB,matowa,1366 x 768,Intel HD Graphics 4000,,
Używany,VA,SSD,Windows 10 Professional,Intel Core i5,2,2.8 GHz,8 GB,DDR4,,256 GB,matowa,1920 x 1080,Intel HD Graphics 520,1.26 kg,
Używany,TN,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,3 GHz,8 GB,DDR3L,,240 GB,matowa,1600 x 900,Intel HD Graphics 4400,1.78 kg,90 Wh
Używany,,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,,8 GB,,,320 GB,matowa,1600 x 900,,,
Odnowiony przez sprzedawcę,,SSD,Windows 10 Professional,Intel Core i7,4,,16 GB,,,480 GB,matowa,1920 x 1080,,2.63 kg,
Nowy,,eMMC,Windows 10 Home,Inny procesor,4,,4 GB,DDR3L,,32 GB,antyrefleksyjna,1920 x 1080,Intel HD Graphics 400,1.386 kg,10000 mAh
Używany,,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,,4 GB,,,128 GB,matowa,1366 x 768,Intel HD Graphics 4000,,
Nowy,IPS,SSD,Mac OS,Intel Core m3,2,,8 GB,DDR3,,256 GB,błyszcząca,2304 x 1440,Intel HD Graphics 515,0.92 kg,
Nowy,,SSD,brak systemu,Intel Pentium Quad-Core,4,2.7 GHz,4 GB,DDR4,2133,128 GB,matowa,1920 x 1080,,1.86 kg,3070 mAh
Używany,,HDD,Windows 7 Home 64-bit,AMD E,1,,8 GB,DDR3,,500 GB,błyszcząca,1366 x 768,,,
Nowy,,SSD + HDD,brak systemu,Intel Core i7,6,,16 GB,,,1120 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,16 GB,DDR4,2400,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,2.65 kg,56 Wh
Nowy,,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,1.33 kg,3653 mAh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i3,2,,8 GB,,,256 GB,błyszcząca,1366 x 768,,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,2400,512 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050 Ti Max-Q,1.8 kg,97 Wh
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,16 GB,DDR4,2400,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,2.62 kg,70 Wh
Używany,,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,,8 GB,DDR3,,320 GB,matowa,1366 x 768,Intel HD Graphics 3000,,
Nowy,,SSD,Windows 10 Home,Intel Core i7,3,4 GHz,16 GB,DDR4,2133,512 GB,błyszcząca,Inna,NVIDIA GeForce MX150,1.33 kg,
Używany,,SSD,Mac OS,Intel Core i7,4,,16 GB,,,500 GB,błyszcząca antyrefleksyjna,2880 x 1800,,,
Nowy,TN,HDD,Windows 10 Home,Intel Core i3,2,3.4 GHz,8 GB,DDR4,,1000 GB,matowa,1366 x 768,,2.2 kg,30 Wh
Nowy,TN,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,NVIDIA GeForce MX130,1.95 kg,3727 mAh
Używany,,HDD,"Windows 7 Professional 64-bit, Windows 7 Professional 32-bit",Intel Core i5,2,3.1 GHz,4 GB,DDR3,,320 GB,matowa,1366 x 768,,,
Nowy,,SSD,"Windows 7 Professional 32-bit, Windows 7 Professional 64-bit",Intel Core i5,2,3.3 GHz,8 GB,DDR3,1333,120 GB,matowa,1366 x 768,,,
Używany,TN,SSD,Windows 10 Professional,Intel Core i5,2,3.3 GHz,8 GB,DDR3,,240 GB,matowa,1366 x 768,Intel HD Graphics 4000,,
Nowy,IPS,HDD,"Windows 10 Home, Windows 8.1 Home 64-bit",Intel Core i5,2,3.4 GHz,8 GB,DDR3,1600,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 860M,2.4 kg,
Odnowiony przez producenta,IPS,SSD,Windows 10 Professional,Intel Core i5,2,3.1 GHz,8 GB,DDR3L,1866,256 GB,matowa,1920 x 1080,Intel HD Graphics 520,,
Nowy,,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,2.7 GHz,4 GB,DDR4,2400,500 GB,matowa,1366 x 768,,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR3L,2133,512 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,1.29 kg,60 Wh
Nowy,,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,,256 GB,matowa,1600 x 900,,,
Powystawowy,,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,2.56 GHz,8 GB,DDR3,1600,500 GB,błyszcząca,1366 x 768,Intel HD Graphics 405,2.15 kg,2700 mAh
Nowy,,eMMC,Windows 10 Home,Inny procesor,4,,2 GB,,,32 GB,błyszcząca,1280 x 800,,,
Używany,,eMMC,"Windows 8.1 Professional 64-bit, Windows 10 Professional",Inny procesor,4,,2 GB,,,32 GB,błyszcząca,1366 x 768,,,
Używany,,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,,8 GB,,,128 GB,matowa,1366 x 768,Intel HD Graphics 4000,,
Nowy,,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,AMD Radeon 530M,2.2 kg,
Nowy,,SSD + HDD,brak systemu,Intel Core i7,6,,8 GB,,,1120 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,
Używany,TN,SSD,"Windows 7 Professional 64-bit, Windows 10 Home, Windows 10 Professional",Intel Core i5,2,3.3 GHz,8 GB,DDR3,,240 GB,matowa,1600 x 900,,2.8 kg,
Nowy,TN,SSD,Windows 10 Professional,Intel Core i5,2,3.1 GHz,8 GB,DDR4,2133,256 GB,matowa,1920 x 1080,Intel HD Graphics 620,2 kg,42 Wh
Nowy,TN,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2133,256 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,,
Nowy,,SSD,Windows 10 Home,Intel Core i3,2,3.4 GHz,8 GB,DDR4,2133,256 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,,
Nowy,TN,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,,2.18 kg,42 Wh
Używany,TN,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,3.2 GHz,4 GB,DDR3,,250 GB,matowa,1600 x 900,Intel HD Graphics 3000,,
Używany,TN,SSD,"Windows 10 Professional, Windows 8.1 Professional 64-bit, Windows 7 Home 64-bit",Intel Core i5,2,2.6 GHz,8 GB,DDR3,,256 GB,matowa,1600 x 900,Intel HD Graphics 4400,1.6 kg,
Nowy,TN,HDD,Windows 10 Home,Intel Core i3,2,2 GHz,4 GB,DDR3,1600,500 GB,matowa,1366 x 768,Intel HD Graphics 5500,1.98 kg,2850 mAh
Nowy,VA,HDD,Windows 10 Home,Intel Celeron Dual-Core,2,2 GHz,4 GB,DDR3L,1600,1000 GB,błyszcząca antyrefleksyjna,1920 x 1080,Intel HD Graphics 500,,
Nowy,TN,HDD,brak systemu,Intel Core i3,2,3.4 GHz,4 GB,DDR4,2400,1000 GB,matowa,1920 x 1080,,1.63 kg,3727 mAh
Nowy,,HDD,Windows 10 Professional,Intel Core i5,4,3.4 GHz,8 GB,DDR4,,1000 GB,matowa,1920 x 1080,,,
Nowy,,SSD + HDD,brak systemu,Intel Core i7,6,,8 GB,,,1240 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,
Nowy,,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,2.56 GHz,4 GB,DDR3,1600,500 GB,błyszcząca,1366 x 768,Intel HD Graphics 405,1.95 kg,2850 mAh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,4,3.8 GHz,16 GB,DDR4,2400,512 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,2.05 kg,97 Wh
Nowy,IPS,eMMC,Windows 10 Home,Inny procesor,4,1.92 GHz,2 GB,DDR3,1600,32 GB,błyszcząca,1280 x 800,,,
Używany,,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,,4 GB,,,250 GB,matowa,1366 x 768,,,
Nowy,,SSD,Windows 10 Professional,Intel Core i7,4,4.2 GHz,16 GB,DDR4,2400,512 GB,matowa,1920 x 1080,,,
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR4,,1128 GB,matowa,1920 x 1080,,,
Odnowiony przez producenta,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,8 GB,DDR4,,256 GB,błyszcząca,1920 x 1080,,,
Powystawowy,,SSD,Windows 10 Professional,Intel Core i5,2,3.2 GHz,8 GB,DDR3,,160 GB,matowa,1366 x 768,,,
Nowy,TN,HDD,Windows 10 Home,Intel Core i5,4,3.2 GHz,8 GB,DDR4,2400,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GT 940M,,
Używany,,SSD,"Windows 8.1 Professional 64-bit, Windows 7 Professional 64-bit",Intel Core i7,2,3.2 GHz,8 GB,DDR3,,256 GB,matowa,2560 x 1440,,,
Używany,,SSD,"Windows 7 Professional 64-bit, Windows 10 Home",Intel Core i5,2,3.3 GHz,8 GB,DDR3,,120 GB,matowa,1366 x 768,,,
Używany,TN,SSD,Mac OS,Intel Core i7,2,,8 GB,,,240 GB,błyszcząca antyrefleksyjna,1440 x 900,Intel HD Graphics 5000,,
Używany,TN,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,3.3 GHz,4 GB,DDR3,,320 GB,matowa,1366 x 768,Intel HD Graphics 4000,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i3,2,2 GHz,24 GB,DDR4,2400,128 GB,matowa,1920 x 1080,,1.7 kg,
Używany,IPS,SSD,"Windows 8.1 Professional 64-bit, Windows 10 Professional",Intel Core i7,2,3.3 GHz,8 GB,DDR3L,,500 GB,matowa,1920 x 1080,Intel HD Graphics 4400,1.7 kg,
Nowy,IPS,HDD,Windows 10 Home,Intel Core i5,4,,8 GB,DDR4,,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,45 Wh
Powystawowy,,SSD,Windows 10 Professional,Intel Core i5,4,3.4 GHz,8 GB,DDR3,2133,512 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,1.15 kg,
Nowy,IPS,SSD + HDD,brak systemu,Intel Core i7,6,,16 GB,,,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,
Nowy,IPS,eMMC,Windows 10 Home,Inny procesor,4,1.92 GHz,4 GB,DDR3,,32 GB,błyszcząca,1920 x 1080,,1.12 kg,8000 mAh
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i5,4,4 GHz,16 GB,DDR4,2666,1240 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,2.98 kg,3220 mAh
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,,1128 GB,błyszcząca,1920 x 1080,,,
Używany,,SSD,Windows 7 Professional 64-bit,Intel Core i7,2,3.2 GHz,8 GB,DDR3,,256 GB,matowa,1600 x 900,,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,6,4.8 GHz,32 GB,DDR4,2400,1024 GB,błyszcząca,3840 x 2160,NVIDIA GeForce GTX 1050 Ti Max-Q,1.8 kg,97 Wh
Nowy,TN,HDD,Windows 10 Home,Intel Celeron Dual-Core,2,2.6 GHz,4 GB,DDR4,,1000 GB,matowa,1366 x 768,,2.2 kg,30 Wh
Nowy,,SSD,Windows 10 Home,Intel Pentium Quad-Core,4,2.7 GHz,4 GB,DDR4,2400,256 GB,matowa,1920 x 1080,,1.87 kg,3070 mAh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR3L,2133,256 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,1.26 kg,60 Wh
Nowy,,HDD,brak systemu,Intel Pentium Quad-Core,4,2.7 GHz,4 GB,DDR4,2133,1000 GB,matowa,1920 x 1080,,1.92 kg,
Powystawowy,,SSD,"Windows 7 Professional 64-bit, Windows 10 Professional",Intel Core i7,2,,8 GB,,,128 GB,matowa,1920 x 1080,,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,2666,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,2.95 kg,56 Wh
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,2666,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,2.95 kg,56 Wh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i3,2,,8 GB,DDR3,1600,256 GB,błyszcząca,1920 x 1080,,2.6 kg,48 Wh
Nowy,,SSD,Mac OS,Intel Core i5,2,2.9 GHz,8 GB,DDR3L,1600,128 GB,błyszcząca,1440 x 900,Intel HD Graphics 6000,1.35 kg,54 Wh
Nowy,IPS,SSD,Mac OS,Intel Core i5,2,3.6 GHz,8 GB,DDR3L,2133,128 GB,błyszcząca,2560 x 1600,,1.25 kg,50 mAh
Używany,,SSD,"Windows 7 Professional 64-bit, Windows 7 Professional 32-bit",Intel Core i5,2,2.9 GHz,4 GB,DDR3,,120 GB,matowa,1280 x 800,,,
Nowy,,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,AMD Radeon 530M,2.2 kg,
Nowy,,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR3,1866,512 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,1.27 kg,4335 mAh
Odnowiony przez producenta,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR3,,512 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,2,3.1 GHz,8 GB,DDR4,2133,256 GB,błyszcząca,1920 x 1080,,1.38 kg,
Powystawowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,8 GB,DDR4,2400,1240 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,2.4 kg,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,4 GHz,8 GB,DDR4,2400,256 GB,antyrefleksyjna,1920 x 1080,NVIDIA GeForce GTX 1050,2.16 kg,52.5 Wh
Używany,IPS,SSD,"Windows 8.1 Professional 64-bit, Windows 10 Professional",Intel Core i7,2,3.3 GHz,8 GB,DDR3L,,120 GB,matowa,1920 x 1080,Intel HD Graphics 4400,1.7 kg,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,16 GB,DDR4,2666,1240 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1060,2.57 kg,3220 mAh
Nowy,,HDD,Windows 10 Home,Intel Core i5,2,3.1 GHz,8 GB,DDR4,2400,1000 GB,matowa,1920 x 1080,,2.2 kg,
Używany,TN,HDD,inny,Intel Celeron M,1,,3 GB,DDR3,,100 GB,matowa,1366 x 768,,2.5 kg,40 Wh
Nowy,,SSD,Mac OS,Intel Core i5,2,2.9 GHz,8 GB,DDR3,1600,128 GB,błyszcząca,1440 x 900,,,
Nowy,IPS,SSD + HDD,brak systemu,Intel Core i7,6,,32 GB,,,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,
Nowy,IPS,SSD,Windows 10 Home,Inny procesor,4,1.92 GHz,4 GB,DDR3,,128 GB,błyszcząca,1280 x 800,Intel HD Graphics 400,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,2,3.5 GHz,16 GB,DDR4,1866,512 GB,błyszcząca,3200 x 1800,Intel HD Graphics 620,1.3 kg,60 Wh
Nowy,TN,SSD,Windows 10 Home,Intel Core i5,4,3.5 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,2.7 kg,74 Wh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i3,2,2.7 GHz,4 GB,DDR4,2133,128 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,,
Nowy,,SSD,Mac OS,Intel Core i5,2,3.6 GHz,8 GB,DDR3L,2133,128 GB,błyszcząca,2560 x 1600,,1.35 kg,54 Wh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2400,256 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,2.3 kg,3500 mAh
Odnowiony przez sprzedawcę,,SSD,Windows 10 Professional,Intel Core i7,4,,8 GB,,,240 GB,matowa,1920 x 1080,,2.63 kg,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,2,3.1 GHz,8 GB,DDR3,,256 GB,błyszcząca,2160 x 1440,Intel HD Graphics 620,1.05 kg,41 Wh
Nowy,TN,SSD,Windows 10 Home,Intel Core i3,2,,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,Intel HD Graphics 520,2.25 kg,2700 mAh
Nowy,,HDD,Windows 10 Home,PowerPC G4,4,,4 GB,,,32 GB,matowa,1920 x 1080,,,
Powystawowy,,eMMC,Windows 10 Home,Intel Celeron Dual-Core,2,2.4 GHz,4 GB,DDR3,1600,64 GB,błyszcząca,1366 x 768,Intel HD Graphics 500,1 kg,5000 mAh
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.9 GHz,32 GB,DDR4,2400,1256 GB,antyrefleksyjna,3840 x 2160,NVIDIA GeForce GTX 1080,4.85 kg,99 mAh
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i7,6,4.1 GHz,8 GB,DDR4,,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,
Używany,TN,HDD,Windows 7 Professional 64-bit,Intel Core 2 Duo,2,,4 GB,,,160 GB,matowa,1366 x 768,,2.3 kg,
Nowy,IPS,SSD,Windows 10 Home,AMD Ryzen 5,4,3.6 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,,1.45 kg,57.4 Wh
Nowy,,SSD,Windows 10 Home,AMD A6,4,2.4 GHz,8 GB,DDR3,1600,240 GB,błyszcząca,1366 x 768,,2.2 kg,
Nowy,TN,HDD,Windows 10 Home,Intel Core i5,4,3.5 GHz,8 GB,DDR4,2400,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,2.7 kg,74 Wh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,4,3.8 GHz,16 GB,DDR4,2400,256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,2.05 kg,56 Wh
Używany,,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,3.3 GHz,4 GB,DDR3,,120 GB,matowa,1366 x 768,,,
Nowy,IPS,SSD,Mac OS,Intel Core i7,6,4.1 GHz,16 GB,DDR4,2400,256 GB,błyszcząca,2880 x 1800,AMD Radeon Pro 555X,1.83 kg,83.6 Wh
Po zwrocie,,SSD + HDD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,,1128 GB,matowa,1920 x 1080,AMD Radeon 530M,,
Nowy,IPS,eMMC,Windows 10 Home,Intel Celeron Dual-Core,2,2.4 GHz,4 GB,DDR3L,1600,64 GB,błyszcząca,1920 x 1080,Intel HD Graphics 500,1.25 kg,
Nowy,,SSD,Windows 10 Home,Intel Core i5,4,,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,AMD Radeon 530M,2.2 kg,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,6,4.1 GHz,32 GB,DDR4,,512 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,
Nowy,IPS,SSD,Mac OS,Intel Core i7,2,,8 GB,DDR3L,,128 GB,błyszcząca,2560 x 1600,,1.37 kg,54 Wh
Nowy,,SSD,Windows 10 Home,Intel Core i3,2,2.4 GHz,4 GB,DDR4,2133,128 GB,matowa,1920 x 1080,Intel HD Graphics 620,1.2 kg,
Nowy,IPS,SSD,Windows 10 Home,AMD Ryzen 5,4,,8 GB,DDR4,,256 GB,matowa,1920 x 1080,,,
Nowy,IPS,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,2.7 GHz,4 GB,DDR4,2400,500 GB,błyszcząca,1366 x 768,,1.3 kg,3640 mAh
Nowy,,SSD + HDD,"Windows 10 Professional, Windows 10 Home",Intel Core i7,4,4 GHz,16 GB,DDR4,2400,2128 GB,matowa,1920 x 1080,,,42 Wh
Nowy,IPS,SSD,Mac OS,Intel Core i5,2,3.6 GHz,8 GB,DDR3,2133,128 GB,błyszcząca,2560 x 1600,,1.37 kg,54.5 Wh
Nowy,,SSD,Windows 10 Home,Intel Celeron Dual-Core,2,2.48 GHz,4 GB,DDR3L,1600,32 GB,błyszcząca,1366 x 768,Intel HD Graphics 400,1.44 kg,41 Wh
Nowy,IPS,SSD,Mac OS,Intel Core i5,2,,8 GB,DDR3L,,256 GB,błyszcząca,2560 x 1600,,1.37 kg,54 Wh
Używany,TN,HDD,Windows 7 Professional 64-bit,Intel Core i5,2,3.2 GHz,4 GB,DDR3,,250 GB,matowa,1366 x 768,Intel HD Graphics 4000,,
Używany,,SSD,"Windows 10 Home, Windows 10 Professional",Intel Core i5,2,3.2 GHz,8 GB,DDR3,,240 GB,matowa,1366 x 768,,,
Używany,TN,HDD,Windows 7 Professional 64-bit,Intel Celeron,2,,4 GB,DDR3,,160 GB,antyrefleksyjna,1280 x 800,,,
Nowy,TN,SSD + HDD,Windows 10 Professional,Intel Core i5,2,3.4 GHz,8 GB,DDR4,2400,1128 GB,matowa,1920 x 1080,,1.67 kg,42 Wh
Nowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,,256 GB,matowa,1920 x 1080,NVIDIA GeForce MX150,1.9 kg,
Używany,,SSD,"Windows 7 Professional 64-bit, Windows 10 Home",Intel Core i5,2,3.3 GHz,4 GB,DDR3,,128 GB,matowa,1366 x 768,,,
Używany,TN,SSD,"Windows 10 Professional, Windows 8.1 Professional 64-bit, Windows 7 Home 64-bit",Intel Core i5,2,3.3 GHz,8 GB,DDR3,,240 GB,matowa,1366 x 768,Intel HD Graphics 4600,2.6 kg,
Używany,TN,SSD,"Windows 10 Professional, Windows 7 Professional 64-bit, Windows 10 Home",Intel Core i7,4,3.7 GHz,16 GB,DDR3,,512 GB,matowa,1920 x 1080,,3 kg,
Nowy,IPS,SSD + HDD,Windows 10 Home,AMD Ryzen 5,4,3.6 GHz,8 GB,DDR4,2400,1120 GB,błyszcząca,1920 x 1080,,,
Nowy,IPS,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,16 GB,DDR3L,2133,512 GB,błyszcząca,1920 x 1080,Intel HD Graphics 620,1.26 kg,60 Wh
Powystawowy,IPS,eMMC,Windows 10 Home,Intel Pentium Quad-Core,4,2.5 GHz,4 GB,DDR3,1600,64 GB,błyszcząca,1920 x 1080,Intel HD Graphics 505,1.3 kg,4670 mAh
Używany,IPS,eMMC,Chrome OS,Intel Celeron Dual-Core,2,2.58 GHz,4 GB,,,16 GB,błyszcząca,1366 x 768,,,
Nowy,,SSD + HDD,Windows 10 Home,Intel Core i7,4,3.8 GHz,8 GB,DDR4,2400,1256 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,
Powystawowy,IPS,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR4,2133,256 GB,błyszcząca,1920 x 1080,,1.7 kg,4610 mAh
Nowy,,SSD,Windows 10 Home,Intel Core i7,4,4 GHz,8 GB,DDR4,2400,256 GB,matowa,1920 x 1080,AMD Radeon 530M,,
Nowy,,HDD,Windows 10 Home,Intel Core i5,4,,8 GB,DDR4,,1000 GB,antyrefleksyjna,1920 x 1080,NVIDIA GeForce GTX 1050,,
Używany,IPS,HDD,Windows 10 Home,Intel Core i5,4,,8 GB,DDR4,2400,1000 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,
Używany,TN,SSD,Windows 7 Professional 64-bit,Intel Core i7,4,3.8 GHz,16 GB,DDR3L,,256 GB,matowa,1920 x 1080,NVIDIA Quadro K2100M,2.89 kg,97 Wh
Używany,TN,SSD,Windows 7 Professional 64-bit,Intel Core i5,2,3.1 GHz,8 GB,DDR3L,,256 GB,matowa,1920 x 1080,,2.89 kg,65 Wh
Nowy,,HDD,Windows 10 Home,Intel Core i7,4,4 GHz,8 GB,DDR4,2400,1000 GB,antyrefleksyjna,1920 x 1080,AMD Radeon 530M,2.1 kg,41 mAh
Nowy,IPS,SSD + HDD,brak systemu,Intel Core i7,6,,8 GB,,,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,
Używany,,HDD,Windows 8.1 Professional 64-bit,Intel Core i5,2,2.9 GHz,8 GB,DDR3,,320 GB,antyrefleksyjna,1366 x 768,,,
Nowy,TN,HDD,Windows 10 Home,Intel Pentium Quad-Core,4,2.7 GHz,4 GB,DDR3,,1000 GB,antyrefleksyjna,1920 x 1080,,2 kg,
Nowy,VA,SSD,Windows 10 Home,Intel Core i5,4,3.4 GHz,8 GB,DDR3,2133,256 GB,błyszcząca,1920 x 1080,,1.47 kg,
Używany,TN,HDD,"Windows 7 Professional 32-bit, Windows 7 Professional 64-bit",Intel Core i7,2,3.6 GHz,4 GB,DDR3,,250 GB,matowa,1366 x 768,,,
Nowy,TN,SSD + HDD,brak systemu,Intel Core i7,6,,16 GB,,,1240 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050,,
Używany,,SSD,Windows 10 Professional,Intel Core i5,2,,8 GB,DDR3,,240 GB,matowa,1366 x 768,,,
Nowy,VA,SSD + HDD,Windows 10 Home,Intel Core i5,2,3 GHz,8 GB,DDR4,2133,1256 GB,antyrefleksyjna,1920 x 1080,,,41 Wh
Nowy,,eMMC,Windows 10 Home,Intel Pentium Quad-Core,4,,4 GB,DDR3,,32 GB,błyszcząca,1920 x 1080,Intel HD Graphics 500,1.34 kg,8000 mAh
Używany,TN,SSD,"Windows 7 Professional 64-bit, Windows 10 Home, Windows 10 Professional",Intel Core i7,2,3.6 GHz,8 GB,DDR3,,240 GB,matowa,1600 x 900,,2.2 kg,
Nowy,,SSD,Windows 10 Home,Intel Core i3,2,,8 GB,,2133,256 GB,błyszcząca,1366 x 768,Intel HD Graphics 520,,
Nowy,,SSD,Mac OS,Intel Core i7,6,4.1 GHz,16 GB,DDR3,2400,256 GB,błyszcząca,2880 x 1800,,,
Nowy,IPS,SSD + HDD,Windows 10 Home,Intel Core i5,3,4 GHz,8 GB,DDR4,,1128 GB,matowa,1920 x 1080,NVIDIA GeForce GTX 1050Ti,,
Używany,TN,SSD,"Windows 7 Professional 64-bit, Windows 10 Home, Windows 10 Professional",Intel Core i5,2,3.2 GHz,8 GB,DDR3,,240 GB,matowa,1366 x 768,NVIDIA Quadro NVS 4200M,2.7 kg,
